sale_id,sale_date,store_id,product_id,units_demanded,units_sold,inventory_on_hand,units_ordered,unit_price,promotion_flag,stockout_flag,lead_time_days
162,2023-01-02,16,145,21,21,36,24,27.82,0,0,10
163,2023-01-02,11,61,56,56,57,44,14.08,1,0,4
164,2023-01-02,18,66,61,61,137,69,10.75,0,0,3
165,2023-01-02,11,22,19,19,24,20,11.96,0,0,2
166,2023-01-02,3,144,12,12,25,20,52.24,0,0,2
167,2023-01-02,19,65,34,34,44,38,46.58,0,0,5
168,2023-01-02,7,58,63,63,67,70,15.48,0,0,7
169,2023-01-02,13,132,9,9,15,11,63.34,0,0,2
170,2023-01-02,1,103,30,30,33,39,11.34,0,0,10
171,2023-01-02,17,138,19,19,23,12,45.98,0,0,10
172,2023-01-02,16,50,4,4,5,8,742.68,0,0,4
173,2023-01-02,9,144,18,18,22,24,44.4,1,0,7
174,2023-01-02,17,99,12,12,17,10,67.39,0,0,10
175,2023-01-02,7,7,28,28,81,32,8.88,0,0,10
176,2023-01-02,18,103,21,21,42,34,11.34,0,0,5
177,2023-01-02,2,109,8,8,15,12,33.6,0,0,10
178,2023-01-02,18,53,38,38,40,50,33.74,0,0,7
179,2023-01-02,13,102,17,3,3,13,50.12,1,1,3
180,2023-01-02,20,22,29,29,54,28,11.96,0,0,2
181,2023-01-02,9,38,5,4,4,6,384.28,0,1,5
182,2023-01-02,18,110,21,21,36,20,44.57,0,0,3
183,2023-01-02,12,23,17,17,22,19,14.31,0,0,5
184,2023-01-02,4,28,3,3,6,5,372.16,0,0,7
185,2023-01-02,4,123,21,14,14,20,14.33,0,1,2
186,2023-01-02,2,36,2,2,5,5,649.85,0,0,2
187,2023-01-02,2,3,21,19,19,31,7.33,1,1,3
188,2023-01-02,9,47,10,10,16,10,149.72,0,0,4
189,2023-01-02,14,68,36,36,40,28,50.47,0,0,10
190,2023-01-02,4,26,4,4,10,5,176.9,0,0,7
191,2023-01-02,3,99,16,16,16,17,67.39,0,0,10
192,2023-01-02,7,62,32,32,35,29,51.82,0,0,10
193,2023-01-02,15,102,11,9,9,12,50.12,1,1,2
194,2023-01-02,4,106,11,11,15,12,48.25,0,0,7
195,2023-01-02,11,92,2,2,7,6,222.13,0,0,4
196,2023-01-02,13,59,21,21,32,17,42.3,0,0,4
197,2023-01-02,11,20,15,15,17,22,14.31,0,0,5
198,2023-01-02,19,47,6,6,14,15,149.72,0,0,2
199,2023-01-02,20,3,31,31,33,33,8.62,0,0,5
200,2023-01-02,15,113,9,7,7,11,51.64,0,1,5
201,2023-01-02,12,67,19,19,41,22,89.69,0,0,3
202,2023-01-02,17,6,25,25,34,27,7.0,0,0,7
203,2023-01-02,20,127,25,25,43,39,9.51,0,0,3
204,2023-01-02,5,33,11,11,18,10,237.21,0,0,10
205,2023-01-02,12,50,8,4,4,5,742.68,0,1,3
206,2023-01-02,18,133,17,17,26,16,56.26,0,0,3
207,2023-01-02,3,106,25,25,28,17,48.25,0,0,10
208,2023-01-02,14,55,72,72,105,106,12.38,1,0,10
209,2023-01-02,17,122,12,12,14,16,48.66,0,0,7
210,2023-01-02,12,22,27,27,36,30,11.96,0,0,7
211,2023-01-02,8,96,7,7,13,12,104.9,0,0,4
212,2023-01-02,1,135,20,8,8,19,64.88,0,1,3
213,2023-01-02,19,128,20,20,28,20,45.9,0,0,10
214,2023-01-02,11,18,32,32,45,35,2.25,0,0,2
215,2023-01-02,6,140,15,15,26,14,63.63,0,0,5
216,2023-01-02,13,17,16,16,23,15,13.94,0,0,4
217,2023-01-02,13,22,30,30,31,35,10.17,1,0,2
218,2023-01-02,7,68,28,28,30,36,50.47,0,0,5
219,2023-01-02,10,136,9,6,6,16,57.69,0,1,10
220,2023-01-02,3,107,35,25,25,35,11.36,0,1,7
221,2023-01-02,19,109,13,13,45,21,33.6,0,0,5
222,2023-01-02,11,5,19,18,18,24,12.3,0,1,5
223,2023-01-02,15,131,14,14,14,18,23.13,0,0,4
224,2023-01-02,18,92,12,10,10,9,222.13,0,1,10
225,2023-01-02,10,120,18,18,19,14,38.37,0,0,5
226,2023-01-02,2,99,12,6,6,10,67.39,0,1,7
227,2023-01-02,11,131,13,13,22,14,23.13,0,0,4
228,2023-01-02,8,81,5,5,7,10,164.72,0,0,10
229,2023-01-02,6,28,17,8,8,10,372.16,0,1,10
230,2023-01-02,4,51,13,13,28,20,43.84,0,0,7
231,2023-01-02,3,76,19,19,23,16,64.5,0,0,10
232,2023-01-02,19,15,46,46,66,63,4.59,0,0,7
233,2023-01-02,6,119,21,21,32,26,21.71,0,0,7
234,2023-01-02,18,79,16,16,26,27,36.69,0,0,4
235,2023-01-02,18,70,38,38,52,46,32.8,0,0,5
236,2023-01-02,17,46,5,4,4,5,775.82,0,1,2
237,2023-01-02,1,88,17,13,13,11,171.73,0,1,4
238,2023-01-02,2,58,32,32,32,35,15.48,0,0,10
239,2023-01-02,10,17,22,22,23,28,13.94,0,0,2
240,2023-01-02,7,98,9,9,18,14,97.17,0,0,4
241,2023-01-02,4,66,46,46,79,52,9.14,1,0,3
242,2023-01-02,16,63,28,28,49,36,63.58,0,0,3
243,2023-01-02,6,91,10,10,15,9,218.18,0,0,2
244,2023-01-02,2,132,9,9,11,11,63.34,0,0,7
245,2023-01-02,16,21,33,33,38,40,12.61,0,0,7
246,2023-01-02,6,99,37,37,40,24,57.28,1,0,7
247,2023-01-02,17,2,34,34,41,29,7.19,0,0,3
248,2023-01-02,6,135,19,19,23,19,64.88,0,0,7
249,2023-01-02,7,55,42,42,71,50,14.57,0,0,5
250,2023-01-02,9,146,34,34,45,31,14.75,1,0,10
251,2023-01-02,5,5,23,23,31,34,12.3,0,0,4
252,2023-01-02,17,42,7,7,17,11,129.34,0,0,3
253,2023-01-02,1,12,41,28,28,45,5.42,0,1,5
254,2023-01-02,8,86,20,20,26,16,24.83,0,0,10
255,2023-01-02,4,143,10,10,13,14,46.86,0,0,5
256,2023-01-02,4,83,17,12,12,19,17.27,0,1,7
257,2023-01-02,7,127,35,35,47,47,9.51,0,0,3
258,2023-01-02,5,115,15,10,10,21,27.13,0,1,4
259,2023-01-02,4,1,19,19,32,41,4.61,1,0,4
260,2023-01-02,19,8,33,33,38,30,10.84,0,0,7
261,2023-01-02,1,106,22,22,33,18,48.25,0,0,3
262,2023-01-02,4,90,2,2,9,7,191.13,0,0,3
263,2023-01-02,1,61,50,50,71,46,16.56,0,0,3
264,2023-01-02,10,118,18,18,22,19,36.3,0,0,2
265,2023-01-02,7,75,36,36,41,33,54.26,0,0,4
266,2023-01-02,17,12,36,36,51,42,5.42,0,0,4
267,2023-01-02,9,127,26,26,28,25,9.51,0,0,2
268,2023-01-02,1,65,21,21,44,39,46.58,0,0,3
269,2023-01-02,5,114,18,18,32,21,32.89,0,0,5
270,2023-01-02,8,37,7,7,8,4,534.01,0,0,10
271,2023-01-02,2,65,21,21,32,22,46.58,0,0,2
272,2023-01-02,4,70,36,36,40,32,27.88,1,0,3
273,2023-01-02,12,75,21,14,14,27,54.26,0,1,7
274,2023-01-02,15,55,33,33,62,38,14.57,0,0,3
275,2023-01-03,9,34,13,12,12,9,123.2,0,1,10
276,2023-01-03,4,50,4,4,4,4,742.68,0,0,2
277,2023-01-03,2,46,2,2,4,3,775.82,0,0,7
278,2023-01-03,7,77,8,8,13,13,164.05,0,0,2
279,2023-01-03,12,70,24,18,18,32,32.8,0,1,5
280,2023-01-03,18,68,35,35,56,44,42.9,1,0,10
281,2023-01-03,18,2,38,38,45,41,7.19,0,0,7
282,2023-01-03,13,73,27,27,56,30,28.86,1,0,5
283,2023-01-03,2,108,17,17,24,16,19.01,0,0,2
284,2023-01-03,4,5,17,17,31,20,12.3,0,0,5
285,2023-01-03,14,98,17,15,15,13,97.17,0,1,2
286,2023-01-03,17,45,11,11,25,17,50.54,1,0,7
287,2023-01-03,15,96,4,4,11,8,104.9,0,0,4
288,2023-01-03,1,68,28,28,39,39,50.47,0,0,3
289,2023-01-03,18,39,4,4,9,7,529.7,0,0,5
290,2023-01-03,15,11,44,44,53,34,2.04,0,0,2
291,2023-01-03,16,106,18,16,16,24,48.25,0,1,5
292,2023-01-03,7,91,7,7,14,12,218.18,0,0,4
293,2023-01-03,20,94,9,9,15,12,203.53,0,0,7
294,2023-01-03,4,139,14,10,10,15,34.46,0,1,3
295,2023-01-03,8,144,13,13,17,16,52.24,0,0,10
296,2023-01-03,12,109,17,17,21,15,33.6,0,0,3
297,2023-01-03,1,7,38,34,34,35,8.88,0,1,3
298,2023-01-03,17,119,16,16,24,20,21.71,0,0,4
299,2023-01-03,10,96,14,8,8,10,104.9,0,1,7
300,2023-01-03,7,86,22,16,16,31,24.83,0,1,2
301,2023-01-03,16,88,10,10,11,15,171.73,0,0,10
302,2023-01-03,12,57,14,13,13,20,86.86,0,1,5
303,2023-01-03,6,18,63,62,62,56,2.25,0,1,4
304,2023-01-03,19,22,29,29,68,35,11.96,0,0,10
305,2023-01-03,19,38,5,5,13,7,384.28,0,0,7
306,2023-01-03,3,51,35,35,75,33,43.84,0,0,3
307,2023-01-03,15,45,5,5,15,12,59.46,0,0,2
308,2023-01-03,10,128,11,11,18,15,45.9,0,0,4
309,2023-01-03,2,128,10,9,9,11,45.9,0,1,10
310,2023-01-03,15,55,35,25,25,40,14.57,0,1,7
311,2023-01-03,15,129,10,10,10,15,33.7,0,0,4
312,2023-01-03,14,129,19,19,34,28,33.7,0,0,4
313,2023-01-03,14,130,13,13,23,18,52.54,0,0,7
314,2023-01-03,16,20,48,33,33,53,12.16,1,1,7
315,2023-01-03,1,84,13,7,7,9,227.42,0,1,10
316,2023-01-03,11,100,9,9,15,10,92.14,0,0,4
317,2023-01-03,13,126,14,10,10,15,27.25,0,1,2
318,2023-01-03,2,29,4,4,10,10,241.15,1,0,7
319,2023-01-03,18,54,30,19,19,27,68.86,0,1,7
320,2023-01-03,11,85,8,8,9,7,151.89,0,0,5
321,2023-01-03,11,30,3,3,6,4,478.98,0,0,10
322,2023-01-03,7,139,17,17,39,23,34.46,0,0,10
323,2023-01-03,1,67,17,17,26,28,89.69,0,0,10
324,2023-01-03,10,113,15,15,16,20,43.89,1,0,5
325,2023-01-03,2,127,11,11,27,20,9.51,0,0,3
326,2023-01-03,10,63,27,13,13,25,63.58,0,1,10
327,2023-01-03,7,88,11,11,19,11,171.73,0,0,5
328,2023-01-03,18,142,24,18,18,25,25.19,0,1,7
329,2023-01-03,18,24,29,29,45,30,13.34,0,0,2
330,2023-01-03,3,125,13,13,23,17,50.01,0,0,2
331,2023-01-03,16,134,23,23,36,39,34.09,1,0,7
332,2023-01-03,10,12,35,28,28,42,5.42,0,1,3
333,2023-01-03,4,97,12,9,9,12,67.27,0,1,10
334,2023-01-03,2,32,3,3,5,4,690.52,0,0,5
335,2023-01-03,10,94,6,6,6,8,203.53,0,0,4
336,2023-01-03,15,137,11,4,4,9,44.92,0,1,5
337,2023-01-03,10,37,7,7,8,6,534.01,0,0,3
338,2023-01-03,18,83,32,31,31,24,17.27,0,1,4
339,2023-01-03,5,118,12,12,30,26,36.3,0,0,10
340,2023-01-03,19,105,30,30,30,33,10.96,0,0,2
341,2023-01-03,13,104,17,17,21,12,36.93,0,0,4
342,2023-01-03,19,149,19,19,37,31,20.82,0,0,4
343,2023-01-03,14,11,92,92,100,87,1.73,1,0,7
344,2023-01-03,18,38,6,6,9,9,384.28,0,0,2
345,2023-01-03,5,147,17,17,24,19,51.8,0,0,7
346,2023-01-03,4,103,14,14,17,25,11.34,0,0,10
347,2023-01-03,2,109,13,12,12,11,33.6,0,1,2
348,2023-01-03,20,83,23,23,34,34,17.27,0,0,4
349,2023-01-03,13,75,12,12,24,18,54.26,0,0,3
350,2023-01-03,2,2,13,13,22,25,7.19,0,0,7
351,2023-01-03,9,2,43,43,61,37,6.11,1,0,10
352,2023-01-03,6,76,15,15,35,18,64.5,0,0,5
353,2023-01-03,2,30,4,4,6,5,478.98,0,0,3
354,2023-01-03,6,68,36,36,50,38,50.47,0,0,3
355,2023-01-03,2,22,17,17,19,21,11.96,0,0,4
356,2023-01-03,9,93,3,3,9,7,232.25,0,0,7
357,2023-01-03,9,71,31,27,27,25,66.28,0,1,4
358,2023-01-03,15,12,24,22,22,22,5.42,0,1,4
359,2023-01-03,11,132,8,8,12,12,63.34,0,0,7
360,2023-01-03,15,125,17,13,13,13,50.01,0,1,10
361,2023-01-03,13,140,11,9,9,10,63.63,0,1,4
362,2023-01-03,7,138,18,18,24,23,45.98,0,0,7
363,2023-01-03,1,150,19,18,18,19,66.66,0,1,7
364,2023-01-03,18,100,7,7,18,15,92.14,0,0,10
365,2023-01-03,6,33,8,8,16,12,237.21,0,0,3
366,2023-01-03,8,122,10,10,20,12,48.66,0,0,7
367,2023-01-03,18,136,14,12,12,15,57.69,0,1,2
368,2023-01-03,10,10,31,31,69,40,3.45,0,0,5
369,2023-01-03,8,70,28,28,39,29,32.8,0,0,7
370,2023-01-03,4,60,27,27,48,29,29.7,0,0,10
371,2023-01-03,11,8,19,19,28,23,10.84,0,0,7
372,2023-01-03,12,140,7,7,19,12,63.63,0,0,10
373,2023-01-03,11,139,18,10,10,12,34.46,0,1,3
374,2023-01-03,13,2,21,11,11,25,7.19,0,1,7
375,2023-01-03,11,84,5,5,9,7,227.42,0,0,10
376,2023-01-03,10,39,10,5,5,6,529.7,0,1,4
377,2023-01-03,6,16,46,44,44,34,9.01,0,1,3
378,2023-01-03,14,83,30,30,34,28,17.27,0,0,4
379,2023-01-03,19,135,12,12,23,19,64.88,0,0,10
380,2023-01-03,14,88,11,11,17,11,171.73,0,0,4
381,2023-01-03,11,5,18,18,35,24,12.3,0,0,10
382,2023-01-03,15,27,5,5,6,3,526.9,0,0,10
383,2023-01-03,8,43,7,7,11,9,214.85,0,0,5
384,2023-01-03,3,39,4,4,12,9,529.7,0,0,3
385,2023-01-03,20,129,24,20,20,21,33.7,0,1,10
386,2023-01-03,12,89,18,16,16,14,189.35,1,1,10
387,2023-01-03,3,24,27,27,47,33,13.34,0,0,3
388,2023-01-03,12,114,14,14,17,15,32.89,0,0,7
389,2023-01-03,17,68,29,16,16,21,50.47,0,1,7
390,2023-01-03,5,140,18,9,9,16,63.63,0,1,2
391,2023-01-03,15,135,8,8,18,10,64.88,0,0,10
392,2023-01-03,9,4,23,23,43,20,13.19,0,0,4
393,2023-01-03,9,116,24,24,25,19,15.55,0,0,3
394,2023-01-03,3,121,23,23,59,38,24.92,1,0,3
395,2023-01-03,3,28,9,9,11,10,372.16,0,0,5
396,2023-01-03,9,144,19,9,9,12,52.24,0,1,4
397,2023-01-03,19,8,31,31,37,39,10.84,0,0,2
398,2023-01-03,9,11,43,43,63,45,2.04,0,0,10
399,2023-01-03,9,56,17,14,14,25,83.55,0,1,3
400,2023-01-03,13,27,2,2,5,5,526.9,0,0,2
401,2023-01-03,17,69,16,16,26,20,80.47,0,0,5
402,2023-01-03,20,90,8,8,12,13,191.13,0,0,4
403,2023-01-03,12,96,10,10,15,8,104.9,0,0,7
404,2023-01-03,5,83,21,21,43,36,17.27,0,0,4
405,2023-01-03,19,126,16,16,32,31,27.25,0,0,7
406,2023-01-03,13,19,16,16,33,33,5.11,0,0,3
407,2023-01-03,10,90,7,7,7,8,191.13,0,0,3
408,2023-01-03,13,32,2,2,4,3,690.52,0,0,10
409,2023-01-03,2,24,17,17,27,17,13.34,0,0,3
410,2023-01-03,20,128,41,32,32,29,39.02,1,1,4
411,2023-01-03,10,95,17,7,7,13,77.7,0,1,3
412,2023-01-04,17,103,19,19,24,21,11.34,0,0,4
413,2023-01-04,18,67,20,20,37,34,89.69,0,0,5
414,2023-01-04,12,11,47,47,58,57,2.04,0,0,3
415,2023-01-04,12,102,7,7,11,15,58.96,0,0,4
416,2023-01-04,15,11,43,35,35,45,2.04,0,1,5
417,2023-01-04,9,144,13,13,18,16,52.24,0,0,3
418,2023-01-04,3,56,16,16,40,25,83.55,0,0,3
419,2023-01-04,11,142,14,11,11,16,25.19,0,1,2
420,2023-01-04,19,42,23,2,2,22,109.94,1,1,7
421,2023-01-04,3,91,8,8,10,13,218.18,0,0,2
422,2023-01-04,6,7,31,31,54,32,8.88,0,0,7
423,2023-01-04,4,126,17,13,13,23,23.16,1,1,10
424,2023-01-04,14,6,47,47,51,39,7.0,0,0,2
425,2023-01-04,9,126,19,19,20,16,27.25,0,0,3
426,2023-01-04,7,117,26,18,18,24,42.25,0,1,3
427,2023-01-04,1,28,9,9,11,8,372.16,0,0,10
428,2023-01-04,8,19,33,33,57,37,5.11,0,0,10
429,2023-01-04,11,72,16,14,14,18,52.32,0,1,3
430,2023-01-04,7,65,36,36,43,37,46.58,0,0,5
431,2023-01-04,13,30,5,4,4,3,478.98,0,1,7
432,2023-01-04,8,44,5,4,4,6,650.26,0,1,10
433,2023-01-04,10,1,38,38,46,35,5.42,0,0,2
434,2023-01-04,9,37,7,6,6,6,534.01,0,1,10
435,2023-01-04,16,136,17,16,16,19,57.69,0,1,10
436,2023-01-04,20,111,34,34,42,27,15.84,0,0,5
437,2023-01-04,16,97,16,16,18,18,67.27,0,0,3
438,2023-01-04,1,47,15,5,5,11,149.72,0,1,10
439,2023-01-04,8,22,20,20,24,25,11.96,0,0,2
440,2023-01-04,18,128,13,13,30,25,45.9,0,0,7
441,2023-01-04,10,123,26,22,22,22,14.33,0,1,4
442,2023-01-04,19,138,16,16,20,22,45.98,0,0,5
443,2023-01-04,7,68,36,21,21,29,50.47,0,1,10
444,2023-01-04,2,105,23,23,33,17,10.96,0,0,5
445,2023-01-04,19,36,6,6,8,7,649.85,0,0,2
446,2023-01-04,4,35,5,4,4,5,469.45,0,1,10
447,2023-01-04,13,107,16,16,27,18,11.36,0,0,3
