product_id,product_name,category,sub_category,unit_price,unit_cost,supplier_name
80,Storage Cabinet,Home & Garden,Furniture,25.36,15.64,Prime Distributors Inc.
81,Non-Stick Pan Set,Home & Garden,Kitchenware,164.72,99.23,Apex Vendor Group
82,Knife Set,Home & Garden,Kitchenware,118.83,82.13,Meridian Logistics
83,Mixing Bowls,Home & Garden,Kitchenware,17.27,9.76,Apex Vendor Group
84,Cutting Board,Home & Garden,Kitchenware,227.42,149.9,NorthStar Wholesale
85,Blender,Home & Garden,Kitchenware,151.89,88.04,Prime Distributors Inc.
86,Wall Art Set,Home & Garden,Decor,24.83,15.47,Global Sourcing Co.
87,Throw Pillow,Home & Garden,Decor,226.25,133.94,Prime Distributors Inc.
88,Table Lamp,Home & Garden,Decor,171.73,106.6,Meridian Logistics
89,Area Rug,Home & Garden,Decor,222.77,140.63,Meridian Logistics
90,Candle Set,Home & Garden,Decor,191.13,140.51,Prime Distributors Inc.
91,Garden Hose,Home & Garden,Garden Tools,218.18,162.6,Prime Distributors Inc.
92,Pruning Shears,Home & Garden,Garden Tools,222.13,123.27,Apex Vendor Group
93,Lawn Mower,Home & Garden,Garden Tools,232.25,164.08,Unity Supply Chain Ltd.
94,Shovel Set,Home & Garden,Garden Tools,203.53,147.11,Prime Distributors Inc.
95,Watering Can,Home & Garden,Garden Tools,77.7,54.97,Global Sourcing Co.
96,Queen Comforter Set,Home & Garden,Bedding,104.9,58.51,Unity Supply Chain Ltd.
97,Bed Sheets Set,Home & Garden,Bedding,67.27,47.98,Unity Supply Chain Ltd.
98,Memory Foam Pillow,Home & Garden,Bedding,97.17,69.39,Prime Distributors Inc.
99,Mattress Protector,Home & Garden,Bedding,67.39,45.96,Unity Supply Chain Ltd.
100,Blanket,Home & Garden,Bedding,92.14,66.61,NorthStar Wholesale
101,Pain Reliever,Health & Wellness,OTC Medicine,24.31,15.85,Apex Vendor Group
102,Allergy Relief,Health & Wellness,OTC Medicine,58.96,38.75,Global Sourcing Co.
103,Cold & Flu Tablets,Health & Wellness,OTC Medicine,11.34,8.44,Prime Distributors Inc.
104,Antacid,Health & Wellness,OTC Medicine,36.93,27.58,Global Sourcing Co.
105,Cough Syrup,Health & Wellness,OTC Medicine,10.96,6.98,Apex Vendor Group
106,Shampoo,Health & Wellness,Personal Care,48.25,30.75,Meridian Logistics
107,Body Wash,Health & Wellness,Personal Care,11.36,8.29,Prime Distributors Inc.
108,Toothpaste,Health & Wellness,Personal Care,19.01,13.15,Global Sourcing Co.
109,Deodorant,Health & Wellness,Personal Care,33.6,23.9,Apex Vendor Group
110,Razor Pack,Health & Wellness,Personal Care,44.57,31.13,Apex Vendor Group
111,Multivitamin,Health & Wellness,Vitamins,15.84,10.08,Apex Vendor Group
112,Vitamin C Tablets,Health & Wellness,Vitamins,55.64,37.54,Apex Vendor Group
113,Fish Oil Capsules,Health & Wellness,Vitamins,51.64,35.84,NorthStar Wholesale
114,Protein Powder,Health & Wellness,Vitamins,32.89,22.48,NorthStar Wholesale
115,Vitamin D Drops,Health & Wellness,Vitamins,27.13,16.53,Prime Distributors Inc.
116,First Aid Kit,Health & Wellness,First Aid,15.55,10.62,Unity Supply Chain Ltd.
117,Adhesive Bandages,Health & Wellness,First Aid,42.25,30.87,Meridian Logistics
118,Antiseptic Spray,Health & Wellness,First Aid,36.3,22.91,Global Sourcing Co.
119,Thermometer,Health & Wellness,First Aid,21.71,12.85,Meridian Logistics
120,Hand Sanitizer,Health & Wellness,First Aid,38.37,23.58,Unity Supply Chain Ltd.
121,Yoga Mat,Health & Wellness,Fitness,29.32,17.38,Unity Supply Chain Ltd.
122,Resistance Bands,Health & Wellness,Fitness,48.66,36.1,Apex Vendor Group
123,Dumbbell Set,Health & Wellness,Fitness,14.33,8.12,Meridian Logistics
124,Jump Rope,Health & Wellness,Fitness,41.51,27.97,Global Sourcing Co.
125,Foam Roller,Health & Wellness,Fitness,50.01,35.02,Apex Vendor Group
126,Superhero Figure,Toys,Action Figures,27.25,19.38,Prime Distributors Inc.
127,Robot Toy,Toys,Action Figures,9.51,5.7,Unity Supply Chain Ltd.
128,Collectible Figure Set,Toys,Action Figures,45.9,32.3,Unity Supply Chain Ltd.
129,Dinosaur Figure,Toys,Action Figures,33.7,22.78,Prime Distributors Inc.
130,Vehicle Toy,Toys,Action Figures,52.54,32.93,Unity Supply Chain Ltd.
131,Family Board Game,Toys,Board Games,23.13,15.76,Global Sourcing Co.
132,Strategy Card Game,Toys,Board Games,63.34,45.74,Global Sourcing Co.
133,Trivia Game,Toys,Board Games,56.26,33.41,Apex Vendor Group
134,Puzzle Game Set,Toys,Board Games,40.11,22.46,Prime Distributors Inc.
135,Chess Set,Toys,Board Games,64.88,37.26,Prime Distributors Inc.
136,Water Blaster,Toys,Outdoor Toys,57.69,39.43,Meridian Logistics
137,Bicycle,Toys,Outdoor Toys,44.92,33.24,Unity Supply Chain Ltd.
138,Scooter,Toys,Outdoor Toys,45.98,31.9,Meridian Logistics
139,Trampoline,Toys,Outdoor Toys,34.46,25.2,Unity Supply Chain Ltd.
140,Kite,Toys,Outdoor Toys,63.63,44.46,Unity Supply Chain Ltd.
141,Building Blocks Set,Toys,Educational,35.9,25.14,Apex Vendor Group
142,STEM Kit,Toys,Educational,25.19,17.77,Unity Supply Chain Ltd.
143,Flash Cards,Toys,Educational,46.86,28.35,Global Sourcing Co.
144,Learning Tablet,Toys,Educational,52.24,31.18,NorthStar Wholesale
145,Art Supplies Kit,Toys,Educational,27.82,18.31,Prime Distributors Inc.
146,500-Piece Puzzle,Toys,Puzzles,17.35,10.87,Prime Distributors Inc.
147,Wooden Puzzle,Toys,Puzzles,51.8,29.16,Unity Supply Chain Ltd.
148,3D Puzzle Model,Toys,Puzzles,28.51,18.34,Global Sourcing Co.
149,Kids Puzzle Set,Toys,Puzzles,20.82,13.2,Meridian Logistics
150,1000-Piece Puzzle,Toys,Puzzles,66.66,36.92,Meridian Logistics
